id,network,capacity,description,lng,lat
01,,12,Fylkeshuset,10.18870,59.74820
02,,15,Sykehuset,10.19950,59.74830
03,,24,Bragernes Torg Øvre,10.20460,59.74460
04,,18,Bragernes Torg Midtre,10.20540,59.74390
05,,9,Bragernes Torg Nedre,10.20460,59.74330
06,,18,Losjeplassen,10.21390,59.74250
07,,12,Fayeparken,10.22770,59.74370
08,,18,Sundland NSB kompetanssesenter,10.18140,59.74100
09,,24,Grønland - Papirbredden,10.19320,59.74430
10,,21,Strømsø Torg ved Bussstasjonen,10.19990,59.74050
11,,24,Strømsø Torg ved Jernbanestasjonen,10.20420,59.73980
12,,21,Marienlyst ved Drammensbadet,10.20050,59.73690
13,,18,Gyldenløves plass,10.21120,59.73690
14,,24,Bangeløkka ekspressbussholdeplass,10.21410,59.73120
15,,18,Rundtom,10.22480,59.73000
16,,9,Bragernes Torg Nedre 2,10.20460,59.74330
17,,15,"Prinsen Kinosenter, Prinsensgt.",10.39300,63.42660
18,,15,Samfundet,10.39410,63.42180
19,,15,"Leuthenhaven, Repslagerveita",10.39160,63.42990
20,,12,"Kongensgate, Nordre Gate",10.39800,63.43050
21,,15,"Solsiden, vis-a-vis Beddingen 14",10.40950,63.43510
22,,15,"Bakke bro, v/Bakke P-Hus",10.40730,63.43220
23,,15,Øvre Bakklandet (Gamle bybro),10.40290,63.42790
24,,15,Fjordgata / krysset Jomfrugatealmenningen,10.39550,63.43440
25,,12,Ilaparken,10.36900,63.42930
26,,18,Trondheim Sentralstasjon,10.39960,63.43600
27,,12,St. Olavs Hospital,10.39210,63.42010
28,,18,"Høyskoleringen, Gløshaugen",10.40750,63.41660
29,,15,Tollboden ,10.40500,63.43950
30,,15,Kirkegata,10.41240,63.43280
31,,15,Cicignonsplass,10.40040,63.43180
32,,12,Lille Skansen,10.37480,63.43040
33,,12,Vollabakken,10.39930,63.42190
34,,15,Teknoparken,10.39610,63.41620
35,,12,Lademoparken,10.42630,63.43680
36,,12,Rica Nidelv,10.40590,63.43530
576566238,Bysykkel,,,10.3929523985533,63.4266564948505
247022808,Bysykkel,,,10.3941790985531,63.4225161948503
420189879,Bysykkel,12,66-Karenslyst alle (v/Bang&Olufsen),10.6842474985128,59.9202280947467
408455943,Bysykkel,12,33-Bygdøy v/Folkemuseet,10.6868352985124,59.9076591947465
1319550193,Bysykkel,12,73-Bygdøy alle (vis-a-vis Ingegjerdsvei),10.6928944985115,59.9191722947467
1319550194,Bysykkel,12,72-Bygdøy alle (v/Kristinelundsvei),10.6975899985109,59.9194199947466
1319550191,Bysykkel,15,"55-Bygdøy alle 45, vis a vis Gimle Kino",10.7082151985094,59.9172685947466
1319550167,Bysykkel,12,41-Frognerstranda v/Kongen,10.7084726985094,59.9102659947465
477367982,Bysykkel,18,02-Middelthunsgate 28 (utenfor Frognerbadet),10.7086494985093,59.9281276947468
1319550195,Bysykkel,12,49-Frognerveien 35 A /Amtmann Furus plass,10.7088374985093,59.9195271947467
1319550207,Bysykkel,18,"01-Middelthunsgate (vis-a-vis nr. 21, retning Kirkeveien)",10.7090091985093,59.9278612947468
477368007,Bysykkel,16,48-Frogner stadion v/tenninsbanene,10.7098595985091,59.9261866947468
1319550174,Bysykkel,12,"39-Munkedamsvn.100, Skillebekk (Niels Juelsgt/Drm.veien)",10.7100999985092,59.9127099947466
417840795,Bysykkel,12,70-Colosseum / Fridtjof Nansensvei,10.711489998509,59.9298088947469
946194894,Bysykkel,12,12-Amaldus Nielsenspl.(Vestkanttorget-Neuberggt.),10.7131902985087,59.9244742947468
938210077,Bysykkel,18,71-Slemdalsveien 1-3,10.7144715985085,59.9307413947469
1319550183,Bysykkel,12,61-Bygdøy alle 2,10.7152699985084,59.9151399947466
425190359,Bysykkel,15,94-Drammensveien 33,10.7154371985084,59.9141138947466
1319550206,Bysykkel,9,90-Mariesgt. v/Majorstuveien,10.7162713985082,59.9266410947468
938210078,Bysykkel,18,13-Majorstua,10.7169110985082,59.9290919947468
741137543,Bysykkel,unknown,54-Uranienborg skole (Briskeby),10.7177931985081,59.9202652947467
729643187,Bysykkel,12,47-Valkyrieplass (mellom Narvesen-gatekjøkken),10.718333198508,59.9281179947468
729643181,Bysykkel,15,67-Holtegt. 20 (krysset Uranienborgvn),10.7209518985076,59.9224828947467
1319550214,Bysykkel,12,91-Suhmsgt. v/Shell - Marienlyst,10.7217107985075,59.9324078947469
1319550182,Bysykkel,11,32-Parkveien/Drammensveien (v.Am.ambassade),10.7222350985075,59.9150669947466
1319550173,Bysykkel,12,11-Ruseløkkvn.(krysset C.Adelersgt.-Vikatorget),10.725059998507,59.9126599947465
1319550171,Bysykkel,14,98-Ruseløkkveien (Cort Adelersgt.),10.725316998507,59.9124174947465
1319550177,Bysykkel,15,59-Dr. Maudsgt. 11-15,10.7269262985068,59.9134070947465
1319550218,Bysykkel,15,92-Blindernveien 5,10.7269299985068,59.9352799947469
499967107,Bysykkel,15,97-Dokkveien (v/Taxi Aker Brygge),10.7280372985067,59.9109848947465
433579242,Bysykkel,12,08-Vestbanen Sør (v/Aker Brygge),10.7299859985063,59.9111665947465
433579243,Bysykkel,12,07-Vestbanen Nord (nærmest Rådhuset),10.7300631985063,59.9111859947465
499966171,Bysykkel,9,83-Parkveien 13,10.7302051985063,59.9216342947467
1319550219,Bysykkel,9,93-Sognsveien v/Ullevålsalléen,10.7305955985063,59.937870094747
573250018,Bysykkel,24,21-Bislet Stadion (mot Rundkjøring i Pilestredet),10.7312935985062,59.9255165947467
433579881,Bysykkel,6,14-Olav V's gt (ved rundkjøringen),10.7323494985061,59.9126857947465
433579882,Bysykkel,9,89-Olav V's gt. vis-a-vis Saga Kino,10.732882998506,59.9139660947465
1319550212,Bysykkel,9,29-Theresesgt.15-17/Stensgt.,10.732912998506,59.9303448947468
1319550197,Bysykkel,6,77-Pilestredet 46,10.7333910985059,59.9208428947467
1319550216,Bysykkel,6,28-Adamstuen (Krysset Theresesgt/Ullevålsvn.),10.7344150985058,59.9326133947469
1319550196,Bysykkel,14,53-Pilestredet 36-38 (v/Høyskolen/Frydenlund),10.7350587985056,59.9203768947467
1319550213,Bysykkel,9,58-Brageveien 1 ( Ligger langs Ullevålsveien),10.7358526985056,59.9307426947469
496106541,Bysykkel,18,99-Rådhusgt.27/Kontraskjæret,10.7359094985056,59.9110131947465
